"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","USACE Division","USACE District","Last EAP Exercise Date"
"Blatt Lake","","","WY02280","","WY02280","BAR CROSS LLC","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond","Wyoming","11003R","42.999300000000005","-109.94250000000001","Wyoming","Sublette","UNNAMED RANCH","0.6","WILLOW CREEK OFFSTREAM","Congressional District 00, Wyoming","14","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","14","11","18","18","Less than 25 feet","2650","","2001","Since 2000","","600","600","149","35.6","0.1","567","Uncontrolled","30","","","","","","None","2023-01-05","2022-07-19","5","Low","Fair","2022-07-19","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Johnnie Johnson","Rio Blanco Reservoir","","CO00964","","CO00964","COLORADO PARKS AND WILDLIFE","State","State","0","","No","Recreation","Fish and Wildlife Pond;Recreation","Colorado","430107","40.088356","-108.21392900000001","Colorado","Rio Blanco","RANGELY","39","WHITE RIVER-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","25","23","28","28","25-50 feet","4855","80834","1970","1970-1979","","1781","1781","1036","149","0","8821","None","300","0","0","","0","","","2022-12-22","2019-07-23","6","Low","Unsatisfactory","2020-06-05","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Soda Lake Wetlands","","","WY01866","","WY01866","WYOMING GAME AND FISH COMMISSION","State","State","0","JON S. OGDEN","No","Fish and Wildlife Pond","Fish and Wildlife Pond","Wyoming","9375R","42.973","-109.848","Wyoming","Sublette","","0","SPRING CREEK","Congressional District 00, Wyoming","27","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","12","6","15","15","Less than 25 feet","1050","6100","1989","1980-1989","2021","105.26","","105.26","24","3.9","41","Uncontrolled","20","","","","","","Other Controlled1","2022-03-17","2019-07-22","5","Low","Fair","2019-07-23","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Steamboat Springs Wastewater","","","CO02272","","CO02272","CITY OF STEAMBOAT SPRINGS (GILBERT ANDERSON)","Local Government","Local Government","0","","No","Other","Other","Colorado","580302","40.491943","-106.910568","Colorado","Routt","MILNER","6","YAMPA RIVER-OS","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","19","19","19","19","Less than 25 feet","704","27524","1980","1980-1989","","279","279","53","9","0","1350","Uncontrolled","29","0","0","","0","","","2022-12-22","2018-10-23","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Bootjack North Augmentation Pond","","","CO03039","","CO03039","","Not Listed","Not Listed","","","","","","Colorado","290149","37.439088999999996","-106.896794","Colorado","Mineral","","","","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","","","","","10","10","10","10","Less than 25 feet","750","","","Undetermined","","50","","50","5","0","","None","","0","0","","0","","","2022-12-22","","0","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Thirtieth Street Dam","","City of Farmington -Thirtieth Street  Dam","NM00423","","NM00423","CITY OF FARMINGTON","Local Government","Local Government","0","BOHANNON HUSTON, INC.","No","Flood Risk Reduction","Flood Risk Reduction","New Mexico","D-423","36.756","-108.173","New Mexico","San Juan","FARMINGTON","0","COLLEGE ARROYO","Congressional District 03, New Mexico","T29N R13W S2","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","Unlisted/Unknown","22","","","22","Less than 25 feet","550","0","1979","1970-1979","","135","135","0","7.6000000000000005","0.96","3107","Uncontrolled","28","0","0","","0","","","2021-04-09","2019-12-03","3","High","Poor","2019-12-03","No","","https://damsafety.org/new-mexico","South Pacific Division","Albuquerque District",""
"Settling Basin","","","WY01854","","WY01854","PACIFICORP, NAUGHTON POWER PLANT","Public Utility","Public Utility","0","JOH R. KUNZ","No","Debris Control","Debris Control;Other","Wyoming","9204R","41.761944","-110.603056","Wyoming","Lincoln","HWY. 189","2","HAMS FORK-OFFSTREAM","Congressional District 00, Wyoming","32","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","24","19","24","24","Less than 25 feet","540","18000","1985","1980-1989","","88","88","88","13","0","0","Uncontrolled","5","","","","","","Valve3","2022-03-17","2019-06-06","5","Low","Fair","2019-06-06","Not Required","","https://damsafety.org/wyoming","Northwestern Division","Sacramento District",""
"Badger Detention","","","CO01256","","CO01256","U.S. BUREAU OF LAND MANAGEMENT","Federal","Federal","0","","No","Flood Risk Reduction","Flood Risk Reduction","Colorado","720330","39.318339","-108.932234","Colorado","Mesa","MACK","6","BADGER WASH","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","25","25","31","31","25-50 feet","445","0","1957","1950-1959","","380","380","190","28","3","1160","Uncontrolled","30","0","0","","0","","","2022-12-22","2000-05-10","3","Low","Unsatisfactory","2009-06-09","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Nast Reservoir","","","CO03034","","CO03034","USDA FS","Federal","Federal","","","No","Fish and Wildlife Pond","Fish and Wildlife Pond","Forest Service","021503 0070","39.2965855","-106.6067926","Colorado","Pitkin","NORRIE","3","DIVERSION OF FRYING PAN R","Congressional District 03, Colorado","","Yes","Yes","","Yes","Yes","Yes","Forest Service","","","","","","","","Earth","Earth","Earth;Unlisted/Unknown;Unlisted/Unknown","Unlisted/Unknown","10","10","10","10","Less than 25 feet","425","2911","1966","1960-1969","","50","50","35","","2","0","Uncontrolled","15","","","","","","Uncontrolled","2021-05-17","2019-08-22","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","South Pacific Division","Sacramento District",""
"Citizens","Olathe Reservoir No. 2","","CO02974","","CO02974","TOWN OF OLATHE","Local Government","Local Government","0","","","","","Colorado","410104","38.398095","-108.107883","Colorado","Montrose","","","DRY CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","10","10","10","10","Less than 25 feet","450","","","Undetermined","","99","","99","","","","Uncontrolled","","0","0","","0","","","2022-12-22","2017-10-21","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Palisade #3","Upper Reservoir","","CO02715","","CO02715","TOWN OF PALISADE PUBLIC WORKS","Local Government","Local Government","","","No","Water Supply","Water Supply","Colorado","720410","39.077222","-108.241686","Colorado","Mesa","PALISADE","10","RAPID CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","25","29","25","29","25-50 feet","500","0","1928","1920-1929","","35","35","18","3","0","432","Uncontrolled","8","0","0","","0","","","2022-12-22","2001-08-06","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Hayden Raw Water Ponds","Hayden Raw Water Pond","","CO01012","","CO01012","XCEL ENERGY - HAYDEN STATION (STEWART, MARK)","Public Utility","Public Utility","0","","No","Water Supply","Water Supply","Colorado","570118","40.483334","-107.177231","Colorado","Routt","HAYDEN","2","YAMPA RIVER-OS","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","15","28","36","36","25-50 feet","4900","37937","1965","1960-1969","","1013","1013","1013","11","0","4","Uncontrolled","2.5","0","0","","0","","","2022-12-22","2021-05-25","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Killdeer Wetland Pond","","","WY02233","","WY02233","CITY OF GREEN RIVER","Local Government","Local Government","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond","Wyoming","10572R","41.529444","-109.479167","Wyoming","Sweetwater","GREEN RIVER","4","GREEN RIVER","Congressional District 00, Wyoming","22","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","11","6","11","11","Less than 25 feet","440","","1996","1990-1999","","371","371","151","44","1.4000000000000001","0","Uncontrolled","28","","","","","","","2023-01-05","2022-06-28","5","Low","Fair","2022-06-28","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Grassey Lake","","","UT00125","","UT00125","FOREST SERVICE,U.S. -MANTI-LASAL","Federal","Federal","0","USDA NRCS","","Irrigation","Irrigation","Utah","UT00125","39.32351109217","-111.3140659614","Utah","Sanpete","ORANGEVILLE","18","LITTLE CREEK","Congressional District 02, Utah","","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","","13","18","18","Less than 25 feet","620","","1945","1940-1949","","190","190","132","","0.5","","","","","","","","","","2021-03-17","2002-10-01","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Posy Lake","Posey Lake","","UT00766","","UT00766","USDA FS","Federal","Federal","0","","No","Recreation","Recreation;Other","Forest Service","040704 6117","37.93627256","-111.6940911","Utah","Garfield","","","","Congressional District 02, Utah","","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","Forest Service","","","","","Forest Service","Forest Service","","Earth","Earth","","","15","6","7","15","Less than 25 feet","120","","","Undetermined","","50","","50","11","","","Uncontrolled","15","","","","","","Uncontrolled","2021-05-17","2016-10-07","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","South Pacific Division","Sacramento District",""
"Chimney Peak Ranch","Forgotten Reservoir","","CO02973","","CO02973","","Not Listed","Not Listed","0","","No","Irrigation","Irrigation","Colorado","680120","38.188745999999995","-107.647613","Colorado","Ouray","","","NATE CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Unlisted/Unknown","25","25","25","25","25-50 feet","200","","","Undetermined","","50","50","35","","0","","Uncontrolled","","0","0","","0","","","2022-12-22","","6","Low","Fair","2016-02-08","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Round Rock","Round Rock Lake","","AZ10305","","AZ10305","BIA","Federal","Federal","0","","No","Irrigation","Irrigation;Recreation;Fire Protection, Stock, Or Small Fish Pond","Bureau of Indian Affairs","","36.48652","-109.4529","Arizona","Apache","ROUND ROCK","2","LUKACHUKAI WASH -OS","Congressional District 01, Arizona","S32 T36N R27E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Earth","Earth","","","","","40","40","25-50 feet","1675","0","1937","1930-1939","","833","","833","","","","Controlled","0","0","0","","0","","","2018-10-04","2012-04-11","5","High","Not Available","","Yes","2005-07-04","https://www.bia.gov/bia/ots/dwp/safety-dams","South Pacific Division","Sacramento District",""
"East Fork Diversion                                              ","","","UT00455","","UT00455","Garkane Energy","Public Utility","Public Utility","1","Harza Engineering","No","Hydroelectric","Irrigation;Hydroelectric","Federal Energy Regulatory Commission","02219-02-01","38.039","-111.4522","Utah","Garfield","Boulder Town                                      ","9","East Fork Boulder Creek       ","Congressional District 02, Utah","S.10,T.32S,R.4E","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Earth","Earth","","","29","","24","29","25-50 feet","630","","1958","1950-1959","","40","40","14","2.2","22","4000","Uncontrolled","","","","","","","","2021-06-14","2019-06-12","2","Low","Not Available","","Not Required","2020-11-03","https://www.ferc.gov/dam-safety-and-inspections","South Pacific Division","Sacramento District",""
"Pagosa","","","CO02097","","CO02097","PAGOSA AREA WATER & SANITATION DISTRICT (WINTON, E","Public Utility","Public Utility","0","","No","Water Supply","Water Supply","Colorado","290105","37.310593","-106.98871199999999","Colorado","Archuleta","PAGOSA SPRINGS","3","FOUR MILE CREEK-OS","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","29","31","33","33","25-50 feet","720","","1974","1970-1979","","52","52","25","3","0","","Uncontrolled","1","0","0","","0","","Valve1;Valve1;Valve1","2022-12-22","2016-07-12","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Denny Lake","Todd, Lake Astic","","CO02162","","CO02162","CITY OF CORTEZ (TORRES, KEN)","Local Government","Local Government","","","No","Water Supply","Water Supply","Colorado","320110","37.348337","-108.552235","Colorado","Montezuma","CORTEZ","1","MCELMO CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","8","8","8","8","Less than 25 feet","675","","1909","1900-1909","2000","168","168","34","17","0","89","None","12","0","0","","0","","","2022-12-22","1979-06-27","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Hayden Plant Recycled Water","Intermediate Quality Wat","","CO02096","","CO02096","XCEL ENERGY - HAYDEN STATION (STEWART, MARK)","Public Utility","Public Utility","0","","No","Water Supply","Water Supply","Colorado","570204","40.488338","-107.185569","Colorado","Routt","HAYDEN","3","YAMPA RIVER-OS","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","18","23","28","28","25-50 feet","4180","70930","1976","1970-1979","","3596","3596","330","29","0","0","None","0","0","0","","0","","","2022-12-22","2021-05-25","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Molina Equalizing Reservoir","","","CO02954","","CO02954","U.S. BUREAU OF RECLAMATION","Federal","Federal","0","","","","","Colorado","720424","39.149102","-108.005813","Colorado","Mesa","","","","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","","","","","27","27","27","27","25-50 feet","","","","Undetermined","","27","27","27","","","","None","0","0","0","","0","","","2022-12-22","2013-04-25","6","Low","Unsatisfactory","2004-07-28","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Myton City West Pond","","","UT53898","","UT53898","MYTON CITY","Local Government","Local Government","0","Epic Engineering","No","","","Utah","UT53898","40.21943178","-110.07875","Utah","Duchesne","","","","Congressional District 01, Utah",",~1E","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Plastic","Soil","","12.5","15.5","15.5","Less than 25 feet","","","2017","Since 2000","","105.84","","105.84","","","3.95","","","","","","","","","2021-03-17","2017-11-13","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Blanding Wastewater Winter Storage","","","UT00104","","UT00104","BLANDING CITY","Local Government","Local Government","0","","No","Other","Other","Utah","UT00104","37.57350985","-109.4790102","Utah","San Juan","NONE","0","OFFSTREAM - EFFLUENT SYSTEM","Congressional District 03, Utah","15,37S~22E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","11","14","14","Less than 25 feet","2975","","1983","1980-1989","","173","","173","","0","","","","","","","","","","2021-03-17","2016-05-11","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Aspaas                                                           ","","","CO02534","","CO02534","Public Service Company of Colorado","Public Utility","Public Utility","1","W.W. Wheeler","No","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","12589-02-01","37.5916","-107.8006","Colorado","La Plata","Hermosa                                           ","14","Little Cascade Creek          ","Congressional District 03, Colorado","S.1,T.38N,R.9W","Yes","Yes","DWR","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Earth","Earth","","","27","25","46","46","25-50 feet","274","","1980","1980-1989","","40","40","24","4","26","","None","","","","","","","","2021-06-14","2018-08-21","1","Low","Not Available","","Not Required","2020-12-30","https://www.ferc.gov/dam-safety-and-inspections","South Pacific Division","Sacramento District",""
"Desert Lake - Desert Lake Dike","","","UT00307","","UT00307","DIVISION OF WILDLIFE RESOURCES","State","State","0","","No","","","Utah","UT00307","39.37185049","-110.780716","Utah","Emery","NONE - DRAINS TO PRI","0","WASHES AND FEEDER CANAL","Congressional District 03, Utah","03,17S~10E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","8","11","11","Less than 25 feet","1260","","1965","1960-1969","","808","","808","","0","","","","","","","","","","2021-03-17","2019-04-30","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Desert Lake - Old Desert Lake","","","UT00570","","UT00570","DIVISION OF WILDLIFE RESOURCES","State","State","0","","No","","","Utah","UT00570","39.36518391","-110.7690491","Utah","Emery","NONE - DRAINS TO PRI","0","WASHES AND FEEDER CANAL","Congressional District 03, Utah","11,17S~10E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","24","28","28","25-50 feet","770","","1888","Before 1900","","44","","44","","0","","","","","","","","","","2021-03-17","2019-04-30","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Starvation Canyon","","","UT00199","","UT00199","BLANDING CITY","Local Government","Local Government","0","","No","Water Supply","Water Supply","Utah","UT00199","37.68017638","-109.4806774","Utah","San Juan","BLANDING","3","JOHNSON CREEK - OFFSTREAM","Congressional District 03, Utah","03,36S~22E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","54","60","60","51-100 feet","2065","","1985","1980-1989","","677","677","500","","1","98","","","","","","","","","2021-03-17","2020-09-02","1","High","Fair","2012-01-01","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
