,Spillway Type,Dam Length (Ft),Federal Agency Involvement Other,Dam Name,Other Structure ID,Federal Agency Involvement Operation,Foundation,EAP Prepared,Core Types,Purposes,Congressional District,Surface Area (Acres),"Section, Township, or Range Location",Drainage Area (Sq Miles),Hydraulic Height (Ft),Federal Agency Involvement Design,Length of Locks,Primary Owner Type,City,geometry,Primary Dam Type,Owner Types,State Permitting Authority,River or Stream Name,Secondary Lock Width (Ft),Federal Agency Involvement Construction,NID Height Category,NID Storage (Acre-Ft),Federal Agency Involvement Funding,Years Modified,Other Names,Dam Height (Ft),State Jurisdictional Dam,County,Lock Width (Ft),EAP Last Revision Date,Length of Secondary Lock,Federal ID,Number of Associated Structures,State Regulated Dam,Distance to Nearest City (Miles),Year Completed Category,Dam Types,State Enforcement Authority,State Inspection Authority,Structural Height (Ft),Latitude,Hazard Potential Classification,Year Completed,Owner Names,NID Height (Ft),Source Agency,Condition Assessment,Inspection Frequency,Volume (Cubic Yards),Designer Names,Condition Assessment Date,Primary Purpose,Website URL,NID ID,Data Last Updated,Max Storage (Acre-Ft),State Regulatory Agency,Max Discharge (Cubic Ft/Second),Former Names,Federal Agency Involvement Inspection,Non-Federal Dam on Federal Property,Longitude,State or Federal Agency ID,Spillway Width (Ft),Federal Agency Involvement Regulatory,Normal Storage (Acre-Ft),Federal Agency Owners,State,Outlet Gate Type,Number of Locks,Last Inspection Date
18,Uncontrolled,425,,Nast Reservoir,,,Unlisted/Unknown,Not Required,Earth;Unlisted/Unknown;Unlisted/Unknown,Fish and Wildlife Pond,"Congressional District 03, Colorado",,,2,10,,,Federal,NORRIE,,Earth,Federal,Yes,DIVERSION OF FRYING PAN R,,,Less than 25 feet,50,,,,10,Yes,Pitkin,,,,CO03034,,Yes,3,1960-1969,Earth,Yes,Yes,10,39.2965855,Low,1966,USDA FS,10,Forest Service,Not Rated,10,2911,,,Fish and Wildlife Pond,https://www.fs.usda.gov/eng/dams/,CO03034,2021-05-17,50,,0,,,No,-106.6067926,021503 0070,15,,35,Forest Service,Colorado,Uncontrolled,,2019-08-22
19,Uncontrolled,450,,Citizens,,,,Not Required,,,"Congressional District 03, Colorado",,,,10,,0,Local Government,,,Earth,Local Government,Yes,DRY CREEK,,,Less than 25 feet,99,,,Olathe Reservoir No. 2,10,Yes,Montrose,0,,,CO02974,0,Yes,,Undetermined,Earth,Yes,Yes,10,38.398095,Low,,TOWN OF OLATHE,10,Colorado,Not Rated,6,,,,,https://damsafety.org/colorado,CO02974,2022-12-22,,DWR,,,,,-108.107883,410104,,,99,,Colorado,,0,2017-10-21
20,Uncontrolled,500,,Palisade #3,,,,Not Required,,Water Supply,"Congressional District 03, Colorado",3,,0,29,,0,Local Government,PALISADE,,Earth,Local Government,Yes,RAPID CREEK-TR,,,25-50 feet,35,,,Upper Reservoir,25,Yes,Mesa,0,,,CO02715,,Yes,10,1920-1929,Earth,Yes,Yes,25,39.077222,Low,1928,TOWN OF PALISADE PUBLIC WORKS,29,Colorado,Not Rated,6,0,,,Water Supply,https://damsafety.org/colorado,CO02715,2022-12-22,35,DWR,432,,,No,-108.241686,720410,8,,18,,Colorado,,0,2001-08-06
21,Uncontrolled,4900,,Hayden Raw Water Ponds,,,,Not Required,,Water Supply,"Congressional District 03, Colorado",11,,0,28,,0,Public Utility,HAYDEN,,Earth,Public Utility,Yes,YAMPA RIVER-OS,,,25-50 feet,1013,,,Hayden Raw Water Pond,15,Yes,Routt,0,,,CO01012,0,Yes,2,1960-1969,Earth,Yes,Yes,36,40.483334,Low,1965,"XCEL ENERGY - HAYDEN STATION (STEWART, MARK)",36,Colorado,Not Rated,6,37937,,,Water Supply,https://damsafety.org/colorado,CO01012,2022-12-22,1013,DWR,4,,,No,-107.177231,570118,2.5,,1013,,Colorado,,0,2021-05-25
22,Uncontrolled,440,,Killdeer Wetland Pond,,,Soil,Not Required,Earth,Fish and Wildlife Pond,"Congressional District 00, Wyoming",44,22,1.4000000000000001,6,,,Local Government,GREEN RIVER,,Earth,Local Government,Yes,GREEN RIVER,,,Less than 25 feet,371,,,,11,Yes,Sweetwater,,,,WY02233,0,Yes,4,1990-1999,Earth,Yes,Yes,11,41.529444,Low,1996,CITY OF GREEN RIVER,11,Wyoming,Fair,5,,,2022-06-28,Fish and Wildlife Pond,https://damsafety.org/wyoming,WY02233,2023-01-05,371,SEO,0,,,No,-109.479167,10572R,28,,151,,Wyoming,,,2022-06-28
23,,620,,Grassey Lake,,,,Not Required,,Irrigation,"Congressional District 02, Utah",,,0.5,13,Natural Resources Conservation Service,,Federal,ORANGEVILLE,,Earth,Federal,Yes,LITTLE CREEK,,,Less than 25 feet,190,,,,,Yes,Sanpete,,,,UT00125,0,Yes,18,1940-1949,Earth,Yes,Yes,18,39.32351109217,Low,1945,"FOREST SERVICE,U.S. -MANTI-LASAL",18,Utah,Not Rated,5,,USDA NRCS,,Irrigation,https://damsafety.org/utah,UT00125,2021-03-17,190,Utah Division of Water Rights,,,,,-111.3140659614,UT00125,,,132,,Utah,,,2002-10-01
24,Uncontrolled,120,,Posy Lake,,Forest Service,,Not Required,,Recreation;Other,"Congressional District 02, Utah",11,,,6,,,Federal,,,Earth,Federal,Yes,,,,Less than 25 feet,50,,,Posey Lake,15,Yes,Garfield,,,,UT00766,0,Yes,,Undetermined,Earth,Yes,Yes,7,37.93627256,Low,,USDA FS,15,Forest Service,Not Rated,10,,,,Recreation,https://www.fs.usda.gov/eng/dams/,UT00766,2021-05-17,,Utah Division of Water Rights,,,Forest Service,No,-111.6940911,040704 6117,15,,50,Forest Service,Utah,Uncontrolled,,2016-10-07
25,Uncontrolled,200,,Chimney Peak Ranch,,,Unlisted/Unknown,Not Required,Earth,Irrigation,"Congressional District 03, Colorado",,,0,25,,0,Not Listed,,,Earth,Not Listed,Yes,NATE CREEK,,,25-50 feet,50,,,Forgotten Reservoir,25,Yes,Ouray,0,,,CO02973,0,Yes,,Undetermined,Earth,Yes,Yes,25,38.188745999999995,Low,,,25,Colorado,Fair,6,,,2016-02-08,Irrigation,https://damsafety.org/colorado,CO02973,2022-12-22,50,DWR,,,,No,-107.647613,680120,,,35,,Colorado,,0,
26,Controlled,1675,Bureau of Indian Affairs,Round Rock,,Bureau of Indian Affairs,,Yes,,"Irrigation;Recreation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 01, Arizona",,S32 T36N R27E 14,,,Bureau of Indian Affairs,0,Federal,ROUND ROCK,,Earth,Federal,No,LUKACHUKAI WASH -OS,,Bureau of Indian Affairs,25-50 feet,833,Bureau of Indian Affairs,,Round Rock Lake,,No,Apache,0,2005-07-04,,AZ10305,0,No,2,1930-1939,Earth,No,No,40,36.48652,High,1937,BIA,40,Bureau of Indian Affairs,Not Available,5,0,,,Irrigation,https://www.bia.gov/bia/ots/dwp/safety-dams,AZ10305,2018-10-04,,,,,Bureau of Indian Affairs,No,-109.4529,,0,Bureau of Indian Affairs,833,Bureau of Indian Affairs,Arizona,,0,2012-04-11
27,Uncontrolled,630,,East Fork Diversion                                              ,,,,Not Required,,Irrigation;Hydroelectric,"Congressional District 02, Utah",2.2,"S.10,T.32S,R.4E",22,,,,Public Utility,Boulder Town                                      ,,Earth,Public Utility,Yes,East Fork Boulder Creek       ,,,25-50 feet,40,,,,29,Yes,Garfield,,2020-11-03,,UT00455,1,Yes,9,1950-1959,Earth,Yes,Yes,24,38.039,Low,1958,Garkane Energy,29,Federal Energy Regulatory Commission,Not Available,2,,Harza Engineering,,Hydroelectric,https://www.ferc.gov/dam-safety-and-inspections,UT00455,2021-06-14,40,Utah Division of Water Rights,4000,,Federal Energy Regulatory Commission,No,-111.4522,02219-02-01,,Federal Energy Regulatory Commission,14,,Utah,,,2019-06-12
28,Uncontrolled,720,,Pagosa,,,,Not Required,,Water Supply,"Congressional District 03, Colorado",3,,0,31,,0,Public Utility,PAGOSA SPRINGS,,Earth,Public Utility,Yes,FOUR MILE CREEK-OS,,,25-50 feet,52,,,,29,Yes,Archuleta,0,,,CO02097,0,Yes,3,1970-1979,Earth,Yes,Yes,33,37.310593,Low,1974,"PAGOSA AREA WATER & SANITATION DISTRICT (WINTON, E",33,Colorado,Not Rated,6,,,,Water Supply,https://damsafety.org/colorado,CO02097,2022-12-22,52,DWR,,,,No,-106.98871199999999,290105,1,,25,,Colorado,Valve1;Valve1;Valve1,0,2016-07-12
29,None,675,,Denny Lake,,,,Not Required,,Water Supply,"Congressional District 03, Colorado",17,,0,8,,0,Local Government,CORTEZ,,Earth,Local Government,Yes,MCELMO CREEK-TR,,,Less than 25 feet,168,,2000,"Todd, Lake Astic",8,Yes,Montezuma,0,,,CO02162,,Yes,1,1900-1909,Earth,Yes,Yes,8,37.348337,Low,1909,"CITY OF CORTEZ (TORRES, KEN)",8,Colorado,Not Rated,6,,,,Water Supply,https://damsafety.org/colorado,CO02162,2022-12-22,168,DWR,89,,,No,-108.552235,320110,12,,34,,Colorado,,0,1979-06-27
30,None,4180,,Hayden Plant Recycled Water,,,,Not Required,,Water Supply,"Congressional District 03, Colorado",29,,0,23,,0,Public Utility,HAYDEN,,Earth,Public Utility,Yes,YAMPA RIVER-OS,,,25-50 feet,3596,,,Intermediate Quality Wat,18,Yes,Routt,0,,,CO02096,0,Yes,3,1970-1979,Earth,Yes,Yes,28,40.488338,Low,1976,"XCEL ENERGY - HAYDEN STATION (STEWART, MARK)",28,Colorado,Not Rated,6,70930,,,Water Supply,https://damsafety.org/colorado,CO02096,2022-12-22,3596,DWR,0,,,No,-107.185569,570204,0,,330,,Colorado,,0,2021-05-25
31,None,,,Molina Equalizing Reservoir,,,,Not Required,,,"Congressional District 03, Colorado",,,,27,,0,Federal,,,,Federal,Yes,,,,25-50 feet,27,,,,27,Yes,Mesa,0,,,CO02954,0,Yes,,Undetermined,,Yes,Yes,27,39.149102,Low,,U.S. BUREAU OF RECLAMATION,27,Colorado,Unsatisfactory,6,,,2004-07-28,,https://damsafety.org/colorado,CO02954,2022-12-22,27,DWR,,,,,-108.005813,720424,0,,27,,Colorado,,0,2013-04-25
32,,,,Myton City West Pond,,,Soil,Not Required,Plastic,,"Congressional District 01, Utah",,",~1E",,12.5,,,Local Government,,,Earth,Local Government,Yes,,,,Less than 25 feet,105.84,,,,,Yes,Duchesne,,,,UT53898,0,Yes,,Since 2000,Earth,Yes,Yes,15.5,40.21943178,Low,2017,MYTON CITY,15.5,Utah,Not Rated,5,,Epic Engineering,,,https://damsafety.org/utah,UT53898,2021-03-17,,Utah Division of Water Rights,3.95,,,No,-110.07875,UT53898,,,105.84,,Utah,,,2017-11-13
33,,2975,,Blanding Wastewater Winter Storage,,,,Not Required,,Other,"Congressional District 03, Utah",,"15,37S~22E SL",0,11,,,Local Government,NONE,,Earth,Local Government,Yes,OFFSTREAM - EFFLUENT SYSTEM,,,Less than 25 feet,173,,,,,Yes,San Juan,,,,UT00104,0,Yes,0,1980-1989,Earth,Yes,Yes,14,37.57350985,Low,1983,BLANDING CITY,14,Utah,Not Rated,5,,,,Other,https://damsafety.org/utah,UT00104,2021-03-17,,Utah Division of Water Rights,,,,No,-109.4790102,UT00104,,,173,,Utah,,,2016-05-11
34,None,274,,Aspaas                                                           ,,,,Not Required,,Hydroelectric,"Congressional District 03, Colorado",4,"S.1,T.38N,R.9W",26,25,,,Public Utility,Hermosa                                           ,,Earth,Public Utility,Yes,Little Cascade Creek          ,,,25-50 feet,40,,,,27,Yes,La Plata,,2020-12-30,,CO02534,1,Yes,14,1980-1989,Earth,Yes,Yes,46,37.5916,Low,1980,Public Service Company of Colorado,46,Federal Energy Regulatory Commission,Not Available,1,,W.W. Wheeler,,Hydroelectric,https://www.ferc.gov/dam-safety-and-inspections,CO02534,2021-06-14,40,DWR,,,Federal Energy Regulatory Commission,No,-107.8006,12589-02-01,,Federal Energy Regulatory Commission,24,,Colorado,,,2018-08-21
35,,1260,,Desert Lake - Desert Lake Dike,,,,Not Required,,,"Congressional District 03, Utah",,"03,17S~10E SL",0,8,,,State,NONE - DRAINS TO PRI,,Earth,State,Yes,WASHES AND FEEDER CANAL,,,Less than 25 feet,808,,,,,Yes,Emery,,,,UT00307,0,Yes,0,1960-1969,Earth,Yes,Yes,11,39.37185049,Low,1965,DIVISION OF WILDLIFE RESOURCES,11,Utah,Not Rated,5,,,,,https://damsafety.org/utah,UT00307,2021-03-17,,Utah Division of Water Rights,,,,No,-110.780716,UT00307,,,808,,Utah,,,2019-04-30
36,,770,,Desert Lake - Old Desert Lake,,,,Not Required,,,"Congressional District 03, Utah",,"11,17S~10E SL",0,24,,,State,NONE - DRAINS TO PRI,,Earth,State,Yes,WASHES AND FEEDER CANAL,,,25-50 feet,44,,,,,Yes,Emery,,,,UT00570,0,Yes,0,Before 1900,Earth,Yes,Yes,28,39.36518391,Low,1888,DIVISION OF WILDLIFE RESOURCES,28,Utah,Not Rated,5,,,,,https://damsafety.org/utah,UT00570,2021-03-17,,Utah Division of Water Rights,,,,No,-110.7690491,UT00570,,,44,,Utah,,,2019-04-30
37,,2065,,Starvation Canyon,,,,Yes,,Water Supply,"Congressional District 03, Utah",,"03,36S~22E SL",1,54,,,Local Government,BLANDING,,Earth,Local Government,Yes,JOHNSON CREEK - OFFSTREAM,,,51-100 feet,677,,,,,Yes,San Juan,,,,UT00199,0,Yes,3,1980-1989,Earth,Yes,Yes,60,37.68017638,High,1985,BLANDING CITY,60,Utah,Fair,1,,,2012-01-01,Water Supply,https://damsafety.org/utah,UT00199,2021-03-17,677,Utah Division of Water Rights,98,,,No,-109.4806774,UT00199,,,500,,Utah,,,2020-09-02
38,Uncontrolled,550,,Jackson Lake Dam,,,Unlisted/Unknown,Yes,,Irrigation;Fish and Wildlife Pond;Recreation,"Congressional District 03, New Mexico",72.9,T30N R13W S17,0.2,,,0,State,FARMINGTON,,Earth,State,Yes,LA  PLATA RIVER-OS,,,25-50 feet,1468,,1951,,45,Yes,San Juan,0,2016-01-14,,NM00337,1,Yes,4,1910-1919,Earth,Yes,Yes,,36.809000000000005,High,1919,NEW MEXICO DEPARTMENT OF GAME AND FISH,45,New Mexico,Poor,1,0,W. CARLOS POWELL,2017-05-23,Irrigation,https://damsafety.org/new-mexico,NM00337,2021-04-09,1468,OFFICE OF THE STATE ENGINEER,1223,,,No,-108.2236,D-337,24,,911,,New Mexico,Valve0,0,2017-05-23
39,,,Bureau of Reclamation,Shadow Mountain Dike,S001,Bureau of Reclamation,,No,,,"Congressional District 02, Colorado",1852,,,37,,,Federal,,,,Federal,Yes,,,,51-100 feet,18369,Bureau of Reclamation,,,,Yes,Grand,,2020-01-24,,CO01666S001,,Yes,,1940-1949,,Yes,Yes,63,40.2072,High,1945,RECLAMATION,63,Bureau of Reclamation,Not Available,,,,,,https://www.usbr.gov/ssle/damsafety/,CO01666,2022-06-01,18369,DWR,,,Bureau of Reclamation,,-105.8452,,,Bureau of Reclamation,,Bureau of Reclamation,Colorado,,,2020-09-16
