"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Floyd Lamb Park South Enhancement Embankment Dam ","Brent Lane","","NV10784","","NV10784","CITY OF LAS VEGAS","Local Government","Local Government","0","THE LOUIS BERGER GROUP","No","Flood Risk Reduction","Flood Risk Reduction;Fish and Wildlife Pond;Recreation","Nevada","J-632","36.314","-115.26520000000001","Nevada","Clark","NORTH LAS VEGAS","0","NONE","Congressional District 04, Nevada","212 S19 E60 03","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","18","13","18","18","Less than 25 feet","3894","28000","","Undetermined","","454","454","400","55","5","45066","Uncontrolled","2222","","","","","","Other Controlled1","2023-05-25","2022-04-12","1","High","Fair","2022-04-12","Yes","2017-01-18","https://damsafety.org/nevada","","",""
"Chevelon Canyon","","","AZ00046","","AZ00046","ARIZONA GAME & FISH DEPARTMENT","State","State","0","","Yes","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation","Arizona","","34.51139","-110.82389","Arizona","Coconino","WINSLOW","42","CHEVELON CREEK","Congressional District 02, Arizona","S14, T13N, R14E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Rockfill","Rockfill","Earth","Rock;Soil","84","84","","84","51-100 feet","550","262000","1966","1960-1969","","8542","8542","7000","200","88","8000","Uncontrolled","80","0","0","","0","","","2021-04-02","2012-05-17","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Roper Lake","","","AZ00091","","AZ00091","ARIZONA GAME & FISH DEPARTMENT","State","State","0","","No","Recreation","Recreation;Water Supply","Arizona","","33.27028","-110.17639","Arizona","Graham","SAFFORD","5","STOCKTON WASH - OS","Congressional District 02, Arizona","S8, T8S, R26E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","17","17","","17","Less than 25 feet","2964","0","1961","1960-1969","","313","","313","34","0.24","100","Uncontrolled","40","0","0","","0","","","2021-04-02","2021-01-14","1","High","Satisfactory","2017-12-13","Yes","","https://damsafety.org/arizona","","","San Carlos Reservation"
"Dacey Dam","","","NV00120","","NV00120","NEVADA DEPARTMENT OF WILDLIFE","State","State","0","","No","Recreation","Recreation;Irrigation;Fish and Wildlife Pond","Nevada","J-363","38.39","-115.1097","Nevada","Nye","HIKO","68","MOORMAN CREEK","Congressional District 04, Nevada","207 N06 E61 10C","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","12","8","13","13","Less than 25 feet","1411","33314","","Undetermined","1991","783.7","783.7","600","214.9","0.5","3700","Uncontrolled","250","","","","","","Slide (sluice gate)2;Uncontrolled1","2023-05-25","2021-04-27","5","Low","Fair","2021-04-27","Not Required","","https://damsafety.org/nevada","","",""
"Rgs Pond B2 Dam ","","","NV10733","","NV10733","NV ENERGY - REID-GARDNER STATION","Public Utility","Public Utility","0","STANLEY CONSULTANTS INC","No","Other","Other","Nevada","J-614","36.65435","-114.64628","Nevada","Clark","ARROWHEAD","3","MUDDY RIVER-OS","Congressional District 04, Nevada","218 S15 E66 06DC","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","17","14","17","17","Less than 25 feet","3110","135100","1982","1980-1989","2007H;2007S","184","184","159","10.200000000000001","0.1","0","None","0","","","","","","None0","2023-05-25","2021-12-15","3","Low","Fair","2021-12-15","Not Required","2010-10-01","https://damsafety.org/nevada","","",""
"Frehner, Garth E. Family Trust","","","UT53483","","UT53483","GARTH E. FREHNER FAMILY TRUST","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT53483","37.47687746","-113.2994998","Utah","Washington","","","","Congressional District 02, Utah","22,38S~13W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","22","26","26","25-50 feet","750","","","Undetermined","","19.2","","19.2","","","","","","","","","","","","2021-03-17","","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","","",""
"Rocky Point Reservoir","","","UT53830","","UT53830","HEATON BROTHERS LLC","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT53830","37.45071077","-112.4594037","Utah","Kane","","","","Congressional District 02, Utah","06,39S~5W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","37.5","38.6","38.6","25-50 feet","530","","","Undetermined","","57","57","51.1","","","4.2","","40","","","","","","","2021-03-17","2016-08-31","5","Low","Not Rated","","Not Required","","https://damsafety.org/utah","","",""
"Tropicana North Branch Detention Basin Dam","","","NV10731","","NV10731","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-612","36.09632","-115.19535","Nevada","Clark","LAS VEGAS","0","TROPICANA WASH","Congressional District 03, Nevada","212 S21 E61 30AC","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","20","18","20","20","Less than 25 feet","1244","9500","2011","Since 2000","","65","65","0","4.8","1.6","3006","Uncontrolled","1244","","","","","","Other Controlled1","2023-05-25","2022-04-11","1","High","Fair","2022-04-11","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Summit Development, Pond N8","","","UT53458","","UT53458","SUMMIT DEVELOPMENT","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT53458","37.17255377","-113.3281388","Utah","Washington","","","","Congressional District 02, Utah","04,42S~13W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","","14","14","Less than 25 feet","672","","","Undetermined","","9.68","","9.68","","0.39","12","","10","","","","","","","2021-03-17","","5","Significant","Not Rated","","No","","https://damsafety.org/utah","","",""
"Echo Canyon Dam ","","","NV00117","","NV00117","NEVADA DCNR PARKS","State","State","0","ROLLINS BROWN & GUNNELL INC.","No","Recreation","Recreation;Fish and Wildlife Pond","Nevada","J-116","37.90719","-114.27153","Nevada","Lincoln","PANACA","8","MEADOW VALLEY WASH","Congressional District 04, Nevada","198 N01 E69 32A","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","58","48","43","58","51-100 feet","1500","220000","1970","1970-1979","","1750","1750","1500","64","200","12186","Uncontrolled","50","","","","","","Slide (sluice gate)2","2023-05-25","2022-08-03","1","High","Fair","2022-08-03","Yes","2017-09-12","https://damsafety.org/nevada","","",""
"Lordsburg Wwtp Pond 2 Dam","","","NM00609","","NM00609","CITY OF LORDSBURG","Local Government","Local Government","0","ENGINEERS, INC.","No","Other","Other","New Mexico","D-609","32.35754","-108.69557","New Mexico","Hidalgo","LORDSBURG","1","LORDSBURG DRAW-OS","Congressional District 02, New Mexico","SE 1/4 S28 T22S R18W","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Soil","13","10","16","16","Less than 25 feet","2100","24000","1998","1990-1999","","62.2","62.2","38.1","8.5","0.02","64","Uncontrolled","60","0","0","","0","","Slide (sluice gate)0","2021-04-09","2016-11-09","3","Significant","Fair","2016-11-09","No","","https://damsafety.org/new-mexico","","",""
"Pahranagat Upper Cross Dike Dam","","Upper Pahranagat Cross Dike","NV20144","","NV20144","USDI FISH & WILDLIFE SERVICE","Federal","Federal","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Irrigation;Recreation","Nevada","","37.3024","-115.12790000000001","Nevada","Lincoln","MOAPA","49","WHITE RIVER","Congressional District 04, Nevada","209 S07 E61 34","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","11","8","11","11","Less than 25 feet","1572","13100","1978","1970-1979","1983S","392","392","357","120","2625","910","Uncontrolled","50","","","","","","Other Controlled2","2023-05-25","2019-04-23","5","Low","Poor","2019-04-23","Not Required","","https://damsafety.org/nevada","","",""
"Freeman Wash Retarding","","","AZ00072","","AZ00072","ARIZONA STATE LAND DEPARTMENT;GRAHAM COUNTY","Local Government;State","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","32.81417","-109.73722","Arizona","Graham","THATCHER","","FREEMAN WASH","Congressional District 06, Arizona","S24, T7S, R25E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","Earth","Soil","21.900000000000002","21.900000000000002","34","34","25-50 feet","4530","0","1963","1960-1969","","1060","1060","0","64","4.65","6000","Uncontrolled","200","0","0","","0","","Uncontrolled","2021-05-24","2021-02-03","1","High","Fair","2018-04-17","Yes","","https://damsafety.org/arizona","","",""
"Trail Head Detention Basin Dam","","","NV10930","","NV10930","CITY OF BOULDER","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-360","35.9866","-114.8435","Nevada","Clark","Boulder City","0","N/A","Congressional District 01, Nevada","215 S23 E64 5DA","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","0","0","0","0","Undetermined","0","0","","Undetermined","","0","0","0","0","0","0","","0","","","","","","None","2023-05-25","2023-05-03","0","High","Fair","2023-05-03","Yes","2015-03-01","https://damsafety.org/nevada","","",""
"Lake Roberts Dam","","","NM00273","","NM00273","NEW MEXICO DEPARTMENT OF GAME AND FISH","State","State","0","CHAMBERS & CAMPBELL 1963, AECOM 2014","No","Recreation","Recreation","New Mexico","D-273","33.03112","-108.16502","New Mexico","Grant","UNINCORPORATED COMMUNITY WEST OF DAM","0.25","SAPILLO CREEK","Congressional District 02, New Mexico","T15S R13W S2","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Rock;Soil","64","","","64","51-100 feet","401","0","1963","1960-1969","1998;2014","2982","2982","748.3000000000001","61.2","89","66168","Uncontrolled","150","0","0","","0","","Slide (sluice gate)0","2021-04-09","2020-04-21","1","High","Fair","2020-04-21","Yes","2017-01-26","https://damsafety.org/new-mexico","","",""
"Rgs Dam Pond E1","","","NV10737","","NV10737","NV ENERGY - REID-GARDNER STATION","Public Utility","Public Utility","0","","No","Other","Other","Nevada","J-618","36.65262","-114.63726","Nevada","Clark","ARROWHEAD","3","MUDDY RIVER-OS","Congressional District 04, Nevada","218 S15 E66 05CC","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","19","16","11","19","Less than 25 feet","2920","67400","1986","1980-1989","2002H;2002S","92","92","73","7.5","0.1","0","None","0","","","","","","None0","2023-05-25","2021-12-15","3","Low","Fair","2021-12-15","Not Required","2010-10-01","https://damsafety.org/nevada","","",""
"Tremaine Reservoir","Hay Lake","","AZ00089","","AZ00089","USDA FS","Federal","Federal","0","USDA NRCS","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond;Fish and Wildlife Pond","Forest Service","030407 0408","34.759994999999996","-111.2174611","Arizona","Coconino","TWO GUNS","35","JACKS CANYON TRIB.","Congressional District 02, Arizona","S20,16N,R11E","No","","","","","","Forest Service","Forest Service;Natural Resources Conservation Service","Natural Resources Conservation Service","Forest Service","Forest Service","Yes","Forest Service","Forest Service;Natural Resources Conservation Service","","No","N/A","Earth","Earth","Earth;Unlisted/Unknown;Unlisted/Unknown","Rock;Soil","30","25","30","30","25-50 feet","1935","15771","1952","1950-1959","2004M","8000","8000","5500","265","17","7647","Uncontrolled","231","","","","","","","2021-05-24","2017-08-01","10","Low","Fair","2020-08-25","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"F-3 Detention Basin Dam (Summerlin V16a Blm Detention Basin)","F3 Haulapai Maule","","NV10862","","NV10862","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-708","36.06185","-115.316597","Nevada","Clark","LAS VEGAS","0","FLAMINGO TROPICANA WASH","Congressional District 03, Nevada","212 S22 E59 01 DB","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown;Unlisted/Unknown","Unlisted/Unknown","17.900000000000002","23","24","24","Less than 25 feet","700","22400","2015","Since 2000","","52.9","52.9","0","4.1","0.5","105","Uncontrolled","350","","","","","","Uncontrolled0","2023-05-25","2022-02-25","1","High","Fair","2022-02-25","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Rgs Dam Pond E2","","","NV10738","","NV10738","NV ENERGY - REID-GARDNER STATION","Public Utility","Public Utility","0","","No","Other","Other","Nevada","J-619","36.65577","-114.64034","Nevada","Clark","ARROWHEAD","3","MUDDY RIVER-OS","Congressional District 04, Nevada","218 S15 E66 05CC","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","19","16","11","19","Less than 25 feet","3620","70400","1986","1980-1989","2002H;2002S","195","195","155","16.2","0.1","0","None","0","","","","","","None0","2023-05-25","2021-12-15","3","Low","Fair","2021-12-15","Yes","2010-10-01","https://damsafety.org/nevada","","",""
"Sunnyside","Sheep Springs #2","Sheep Springs #2","AZ00298","","AZ00298","ARIZONA GAME & FISH DEPARTMENT","State","State","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","34.05917","-109.53556","Arizona","Apache","NO DATA","0","FISH CREEK","Congressional District 02, Arizona","S30, T8N, R27E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","13.200000000000001","13.200000000000001","","13.200000000000001","Less than 25 feet","266","0","1912","1910-1919","","72.2","72.2","72.2","16.4","6","","Uncontrolled","35","0","0","","0","","","2021-04-02","2020-05-14","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Summit Development, Pond N6","","","UT53460","","UT53460","SUMMIT DEVELOPMENT","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT53460","37.17255377","-113.3281388","Utah","Washington","","","","Congressional District 02, Utah","04,42S~13W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","","12","12","Less than 25 feet","524","","","Undetermined","","8.03","","8.03","","0.2","13.09","","30","","","","","","","2021-03-17","","5","Significant","Not Rated","","No","","https://damsafety.org/utah","","",""
"Clark Station Evaporation Pond B Dam ","","","NV10579","","NV10579","NV ENERGY","Public Utility","Public Utility","0","","No","Other","Other","Nevada","J-535","36.089800000000004","-115.0536","Nevada","Clark","LAS VEGAS","0","DUCK CREEK-OS","Congressional District 01, Nevada","212 S21 E62 28DD","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","19","17","19","19","Less than 25 feet","1900","64000","1982","1980-1989","","77","77","58","3.5","0.1","0","None","0","","","","","","None0","2023-05-25","2019-04-22","5","Low","Satisfactory","2019-04-22","Not Required","","https://damsafety.org/nevada","","",""
